Parameter,Base Value,Upper Value,Lower Value,Upper_MLH1_ICER,Median_MLH1,Lower_MLH1_ICER,Upper_MSH2_ICER,Median_MSH2,Lower_MSH2_ICER,Upper_MSH6_ICER,Median_MSH6,Lower_MSH6_ICER,Upper_PMS2_ICER,Median_PMS2,Lower_PMS2_ICER
init dx stage I,0.88,0.9152,0.8448,75351.23,"75,321.39",74572.91,70784.14,"71,472.80",71246.36,0,0,0,2148.5,"2,216.81",2120.5
init dx stage II,0.82,0.8528,0.7872,75522.45,"75,321.39",74405.96,71793.05,"71,472.80",70252.66,0,0,0,2145.52,"2,216.81",2123.42
init dx stage III,0.76,0.7904,0.7296,75115.39,"75,321.39",74805.35,71149.45,"71,472.80",70880.06,0,0,0,2140.71,"2,216.81",2128.14
init dx stage IV,0.3,0.312,0.288,74972.64,"75,321.39",74947.46,71033.09,"71,472.80",70995.92,0,0,0,2134.91,"2,216.81",2133.91
dx stage I,0.95,0.988,0.912,82430.23,"75,321.39",68731.32,68008.45,"71,472.80",74298.58,0,0,0,2301.41,"2,216.81",1990
dx stage II,0.95,0.988,0.912,84476.73,"75,321.39",67370.47,84125.05,"71,472.80",61439.41,0,0,0,2268.76,"2,216.81",2015.08
dx stage III,0.76,0.7904,0.7296,76239.72,"75,321.39",73722.62,72073.06,"71,472.80",69986.58,0,0,0,2177.43,"2,216.81",2093.05
dx stage IV,0.3,0.312,0.288,74961.09,"75,321.39",74959.01,71016.03,"71,472.80",71012.97,0,0,0,2134.45,"2,216.81",2134.37
du_csy,0.0055,0.00572,0.00528,77207.11,"75,321.39",72840.08,72901.65,"71,472.80",69222.59,0,0,0,2153.55,"2,216.81",2115.61
du_csy_comp,0.0384,0.039936,0.036864,74972.81,"75,321.39",74947.29,71025.13,"71,472.80",71003.87,0,0,0,2134.53,"2,216.81",2134.29
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,