sex,age,value,lower,upper,se,var
female,20,0.016533279977835994,0.0,0.07376506518324581,0.0722897638795809,0.005225809961765559
female,21,0.029151225188216556,0.0,0.10238681949689107,0.10033908310695325,0.01006793159874407
female,22,0.04160216757053817,0.0,0.1302634721420187,0.12765820269917832,0.0162966167163845
female,23,0.05371910429674188,0.0,0.15664992145011103,0.1535169230211088,0.02356744565386905
female,24,0.06533503253876875,0.0,0.18080106575265048,0.17718504443759747,0.03139453997235339
female,25,0.0762833113991931,0.0,0.2019844354150529,0.19794474670675183,0.03918212274880014
female,26,0.08646910003510294,0.0,0.21995443471003154,0.2155553460158309,0.046464107196004585
female,27,0.09592546465154583,0.0,0.23510309014066802,0.23040102833785467,0.05308463385914091
female,28,0.10469764999590936,0.0,0.2478662122754268,0.24290888802991825,0.059004727883931365
female,29,0.11283090081558106,5.4963032221156673e-05,0.2586796116827722,0.25345215567754004,0.06423799521759199
female,30,0.12037046185794854,0.0006580089170307804,0.26797909893116856,0.261974668213855,0.06863072678575942
female,31,0.12735925717582766,0.0014774834350780816,0.2761734757709028,0.2692020724891082,0.07246975583243108
female,32,0.13386365420054913,0.0025467143907758048,0.2834811152219309,0.275315712814532,0.07579874172257385
female,33,0.1400890140761983,0.0039521496487868995,0.2901810989299532,0.280504370295543,0.0786827017548991
female,34,0.14627608122403726,0.005797007866514324,0.2965998608744547,0.2849867959477816,0.0812174738645825
female,35,0.15266560162702528,0.008184508601521867,0.30306383730148156,0.2889817421259605,0.08351044728215513
female,36,0.15949832126812172,0.011217871411373322,0.30989946445707983,0.29270796118479236,0.08567795054095792
female,37,0.16701460167725282,0.015000440525870254,0.3174318224202353,0.29638275425647775,0.08784273702065568
female,38,0.17543505588605235,0.01964405795812608,0.32591102442751213,0.3001416271399983,0.09008499634224577
female,39,0.18494865963790552,0.02527486465852407,0.3354722109868675,0.30399339940177655,0.09241198687984804
female,40,0.19569660948410394,0.03203251631574804,0.3462051291159389,0.3078891605441871,0.0947957351806042
female,41,0.20778028181424785,0.040067174375705325,0.3581642533212383,0.3117351373666223,0.09717879586898687
female,42,0.22120605699143736,0.049484603361054966,0.3712317989152684,0.31531225164312915,0.09942181603626
female,43,0.23583512987910585,0.06031738273107821,0.3851157795366456,0.31830242886945603,0.10131643622419512
female,44,0.2516565408399212,0.07265354647252038,0.3998351644982102,0.32063798566517604,0.10280871785142164
female,45,0.268767864396093,0.08663094126311656,0.41558747035683097,0.3223773985118401,0.10392718707126176
female,46,0.28718955595073675,0.10230159250677212,0.43253611336150466,0.3236298304376379,0.10473626714909424
female,47,0.3067315570326351,0.11949179101481405,0.4507233939940816,0.3246069709196822,0.10536968556965141
female,48,0.32703717881849537,0.1378869403894935,0.46985174464312945,0.3253255081685632,0.10583668626513389
female,49,0.34776110897115825,0.15716750654800782,0.48949658418164604,0.32568249608096544,0.10606908825352807
female,50,0.36854524282623946,0.1769847877930605,0.50936661608273,0.32573419172387613,0.10610276365800689
female,51,0.38880011254960817,0.1968285005623051,0.5291626048213445,0.3256874221738586,0.1060722969622532
female,52,0.40777948679160697,0.2160212939889726,0.5483839418149842,0.3257153948694913,0.10609051845498864
female,53,0.424935386942439,0.23387265393331322,0.5664275268814419,0.3259037754891661,0.10621327087809278
female,54,0.4401510618240009,0.2500100409800933,0.5829642705498198,0.326295144978332,0.10646852163643071
female,55,0.45352498993693596,0.2643199919895482,0.5978050466990869,0.32681535361534786,0.10680827535872486
female,56,0.4651888889561703,0.2767816806408402,0.6108596986212002,0.32739645762075276,0.10718844046261736
female,57,0.47530244356893875,0.28745115960018086,0.6221490230456599,0.32800390617656944,0.10758656246708777
female,58,0.48402233366872416,0.2963936191268022,0.6317103203032627,0.3286103671529313,0.1079847734003843
female,59,0.4914617967090954,0.3037294534630186,0.6396782818401273,0.32922985180956654,0.10839229532254914
female,60,0.4977125589954199,0.30961245294726525,0.6462431027355028,0.32989803679247276,0.10883271467952771
female,61,0.5028692267933307,0.3141927972687156,0.6515840223140907,0.33064340054446767,0.10932505832360928
female,62,0.5070384905996509,0.3176044096488745,0.6558338723960837,0.33146487349226506,0.10986896235924327
female,63,0.510330061969002,0.31997714919232983,0.659113882925548,0.33235399905855373,0.11045918069021313
female,64,0.5128536524560048,0.32144087500366975,0.6615452838465494,0.33330232066602206,0.11109043696135579
female,65,0.5147189736152805,0.32212544618748185,0.6632493051031544,0.33430138173735907,0.11175741383150747
female,66,0.5160357370014506,0.3221607218483543,0.6643471766394289,0.3353427256952531,0.11245474367672176
female,67,0.5169136541691359,0.3221607218483543,0.664960128399439,0.335943418420063,0.11285798037975751
female,68,0.5174624366729577,0.3221607218483543,0.6652093903272507,0.33618769510931845,0.11302216634291606
female,69,0.5177917960675371,0.3221607218483543,0.6652161923669303,0.33619436110820444,0.11302664844095377
female,70,0.5180114439074954,0.3221607218483543,0.6652161923669303,0.33619436110820444,0.11302664844095377
male,20,0.0,0.0,0.049672755910573504,0.04867930079236203,0.0023696743256332586
male,21,0.011960145437005923,0.0,0.07342153594517457,0.07195310522627107,0.005177249351702838
male,22,0.024664055300197132,0.0,0.09666857097057795,0.09473519955116638,0.008974758033999315
male,23,0.037382840451912036,0.0,0.11891211597758589,0.11653387365803416,0.013580143709746669
male,24,0.050114117765704735,0.0,0.13966261047677178,0.13686935826723634,0.0187332212324851
male,25,0.06268405715915411,0.0,0.15870834019436697,0.15553417339047962,0.024190879092259778
male,26,0.07479195569122864,0.0,0.17612677518509257,0.17260423968139071,0.02979222355599097
male,27,0.08640746964789899,0.0,0.19217125759297918,0.18832783244111959,0.03546737247197042
male,28,0.09770942317806913,0.0,0.20722267488827806,0.2030782213905125,0.041240764003134006
male,29,0.1088820751730907,0.0,0.22166539580842637,0.21723208789225784,0.04718978001002964
male,30,0.12012042982191919,0.0,0.2358756078607259,0.23115809570351137,0.05343406520927372
male,31,0.13169982180600162,0.0006007816903062557,0.250185995606239,0.2445935096376141,0.059825984956845615
male,32,0.1439367421237288,0.006106100702587729,0.26492749644830865,0.25364496783080653,0.06433576970589087
male,33,0.1572066941828266,0.013802028716597622,0.2805552130909756,0.2614181206868904,0.0683394338234656
male,34,0.17192377029159994,0.024015805381026836,0.29759900488636554,0.2681115355152319,0.07188379547633547
male,35,0.18845908703010614,0.03699665689296708,0.3165175910877245,0.2739305155108623,0.07503792732804676
male,36,0.20678652410099982,0.052434253350465775,0.3371100623126553,0.27898229278294573,0.07783111968642925
male,37,0.22652644937357694,0.06974785321348718,0.35867582585205804,0.2831494131857994,0.08017359018746255
male,38,0.24724432082233047,0.08836597265142516,0.38057648630553637,0.286366303381029,0.08200565971211553
male,39,0.2683995362013923,0.10782774649537816,0.4023697116143837,0.28865112581662544,0.08331947243520534
male,40,0.2895383216349085,0.1278812721876257,0.42395822728324145,0.29015541599370337,0.08419016543047905
male,41,0.31041365883970384,0.1483581866604282,0.4454076151019656,0.2911084398727066,0.08474412376512125
male,42,0.331227727265864,0.1692274252287024,0.46678458926147565,0.2916060207521177,0.0850340713388845
male,43,0.3523763851089765,0.19057003378321255,0.4881663873328967,0.2916444264786905,0.08505647149608431
male,44,0.37415292832240143,0.21237377919694056,0.5096355686414114,0.29131655365558135,0.0848653344337652
male,45,0.39657286098340133,0.23438705221178444,0.5312102424537204,0.29088672643709723,0.08461508761729064
male,46,0.41937635544348495,0.2562256654098693,0.5527012047775826,0.290546028580359,0.08441699472381879
male,47,0.44227621640973375,0.27759886951324436,0.5739586229916771,0.29043255840886406,0.08435107098391824
male,48,0.46504091409777315,0.29836099700223023,0.594963419083117,0.290670373639269,0.08448926611159226
male,49,0.487406528964853,0.3185561282507184,0.6157376277371859,0.29123786949673813,0.08481949662899907
male,50,0.5093811214986921,0.3383675084395477,0.6362965142859923,0.2919704257295157,0.08524672950067465
male,51,0.5311952076078208,0.35804301915084535,0.6566414645741703,0.2926264765148584,0.08563025475750098
male,52,0.5529616481250043,0.377564266688881,0.676718076653239,0.29317073376507086,0.08594907913635005
male,53,0.5746420028577547,0.39669766265574724,0.6965145267031908,0.29382052676649467,0.08633050194934042
male,54,0.5960062883626407,0.4151509703004422,0.7159802476019331,0.2948126917554611,0.08691452322010051
male,55,0.6166348943560124,0.4327365966896247,0.7350757494294756,0.2962923696850539,0.08778916833358465
male,56,0.6361919571219788,0.44928864501662075,0.7537419699899159,0.2983642584738293,0.08902123073463802
male,57,0.6544025738988736,0.46460856469046635,0.7718275063086003,0.30107456278577127,0.09064589235664333
male,58,0.6708841592689411,0.4784617373259977,0.7887710569516125,0.3041031332331025,0.0924787156421901
male,59,0.6852686574378319,0.49062731632700757,0.8038563562634964,0.30696445913775905,0.09422717917373695
male,60,0.697516761075649,0.5011283195097211,0.8168331819313182,0.30939076517316505,0.09572264557443656
male,61,0.7077043716575064,0.5100696496976682,0.8276506932087735,0.31122942264088316,0.09686375351737747
male,62,0.7160136337965306,0.5175978950093062,0.8364758225790601,0.31250036901835876,0.0976564806366104
male,63,0.7226532528752583,0.523870064875336,0.8435299458096408,0.31326668331561863,0.0981360148755681
male,64,0.7278319342762268,0.5290431687264586,0.8490344386679791,0.31359144454269006,0.09833959409037105
male,65,0.7317583833819731,0.533274215993375,0.8532106769215383,0.31353773170960003,0.09830590920560113
male,66,0.734641305575034,0.5367202161067864,0.8562800363377814,0.31316862382637506,0.09807458694930561
male,67,0.7366894062379469,0.5395381784973937,0.8584638926841717,0.31254719990304236,0.09768575216723233
male,68,0.7381113907532487,0.541885112595898,0.8599836217281723,0.3117365389496288,0.09717966971629345
male,69,0.7391159645034764,0.543918027833,0.8610605992372465,0.31079971997616157,0.09659646593726044
male,70,0.7399118328711669,0.5457939336394013,0.8619162009788576,0.30979982199266715,0.09597592970668825
