mutation,current,new,nono,init adenoma,adenoma,init dx stage I,init dx stage II,init dx stage III,init dx stage IV,dx stage I,dx stage II,dx stage III,dx stage IV,all cause dx,all cause,cancer death,csy death
0,0.5,0.5,0.5,0.5,0.9945,0.88,0.82,0.76,0.3,0.95,0.95,0.76,0.3,0,0,0,0
0,1,1,1,0.9945,0.9945,0.88,0.82,0.76,0.3,0.95,0.95,0.76,0.3,0,0,0,0
0,1,1,1,0.9945,0.9945,0.88,0.82,0.76,0.3,0.95,0.95,0.76,0.3,0,0,0,0
0,1,1,1,0.9945,0.9945,0.88,0.82,0.76,0.3,0.95,0.95,0.76,0.3,0,0,0,0
0,1,1,1,0.9945,0.9945,0.88,0.82,0.76,0.3,0.95,0.95,0.76,0.3,0,0,0,0
0,1,1,1,0.9945,0.9945,0.88,0.82,0.76,0.3,0.95,0.95,0.76,0.3,0,0,0,0
0,1,1,1,0.9945,0.9945,0.88,0.82,0.76,0.3,0.95,0.95,0.76,0.3,0,0,0,0
0,1,1,1,0.9945,0.9945,0.88,0.82,0.76,0.3,0.95,0.95,0.76,0.3,0,0,0,0
0,1,1,1,0.9945,0.9945,0.88,0.82,0.76,0.3,0.95,0.95,0.76,0.3,0,0,0,0
0,1,1,1,0.9945,0.9945,0.88,0.82,0.76,0.3,0.95,0.95,0.76,0.3,0,0,0,0
0,0.89,0.89,0.89,0.8845,0.8845,0.7832,0.7298,0.6764,0.267,0.8455,0.8455,0.6764,0.267,0,0,0,0
0,0.89,0.89,0.89,0.8845,0.8845,0.7832,0.7298,0.6764,0.267,0.8455,0.8455,0.6764,0.267,0,0,0,0
0,0.89,0.89,0.89,0.8845,0.8845,0.7832,0.7298,0.6764,0.267,0.8455,0.8455,0.6764,0.267,0,0,0,0
0,0.89,0.89,0.89,0.8845,0.8845,0.7832,0.7298,0.6764,0.267,0.8455,0.8455,0.6764,0.267,0,0,0,0
0,0.89,0.89,0.89,0.8845,0.8845,0.7832,0.7298,0.6764,0.267,0.8455,0.8455,0.6764,0.267,0,0,0,0
0,0.89,0.89,0.89,0.8845,0.8845,0.7832,0.7298,0.6764,0.267,0.8455,0.8455,0.6764,0.267,0,0,0,0
0,0.89,0.89,0.89,0.8845,0.8845,0.7832,0.7298,0.6764,0.267,0.8455,0.8455,0.6764,0.267,0,0,0,0
0,0.89,0.89,0.89,0.8845,0.8845,0.7832,0.7298,0.6764,0.267,0.8455,0.8455,0.6764,0.267,0,0,0,0
0,0.89,0.89,0.89,0.8845,0.8845,0.7832,0.7298,0.6764,0.267,0.8455,0.8455,0.6764,0.267,0,0,0,0
0,0.89,0.89,0.89,0.8845,0.8845,0.7832,0.7298,0.6764,0.267,0.8455,0.8455,0.6764,0.267,0,0,0,0
0,0.87,0.87,0.87,0.8645,0.8645,0.7656,0.7134,0.6612,0.261,0.8265,0.8265,0.6612,0.261,0,0,0,0
0,0.87,0.87,0.87,0.8645,0.8645,0.7656,0.7134,0.6612,0.261,0.8265,0.8265,0.6612,0.261,0,0,0,0
0,0.87,0.87,0.87,0.8645,0.8645,0.7656,0.7134,0.6612,0.261,0.8265,0.8265,0.6612,0.261,0,0,0,0
0,0.87,0.87,0.87,0.8645,0.8645,0.7656,0.7134,0.6612,0.261,0.8265,0.8265,0.6612,0.261,0,0,0,0
0,0.87,0.87,0.87,0.8645,0.8645,0.7656,0.7134,0.6612,0.261,0.8265,0.8265,0.6612,0.261,0,0,0,0
0,0.87,0.87,0.87,0.8645,0.8645,0.7656,0.7134,0.6612,0.261,0.8265,0.8265,0.6612,0.261,0,0,0,0
0,0.87,0.87,0.87,0.8645,0.8645,0.7656,0.7134,0.6612,0.261,0.8265,0.8265,0.6612,0.261,0,0,0,0
0,0.87,0.87,0.87,0.8645,0.8645,0.7656,0.7134,0.6612,0.261,0.8265,0.8265,0.6612,0.261,0,0,0,0
0,0.87,0.87,0.87,0.8645,0.8645,0.7656,0.7134,0.6612,0.261,0.8265,0.8265,0.6612,0.261,0,0,0,0
0,0.87,0.87,0.87,0.8645,0.8645,0.7656,0.7134,0.6612,0.261,0.8265,0.8265,0.6612,0.261,0,0,0,0
0,0.84,0.84,0.84,0.8345,0.8345,0.7392,0.6888,0.6384,0.252,0.798,0.798,0.6384,0.252,0,0,0,0
0,0.84,0.84,0.84,0.8345,0.8345,0.7392,0.6888,0.6384,0.252,0.798,0.798,0.6384,0.252,0,0,0,0
0,0.84,0.84,0.84,0.8345,0.8345,0.7392,0.6888,0.6384,0.252,0.798,0.798,0.6384,0.252,0,0,0,0
0,0.84,0.84,0.84,0.8345,0.8345,0.7392,0.6888,0.6384,0.252,0.798,0.798,0.6384,0.252,0,0,0,0
0,0.84,0.84,0.84,0.8345,0.8345,0.7392,0.6888,0.6384,0.252,0.798,0.798,0.6384,0.252,0,0,0,0
0,0.84,0.84,0.84,0.8345,0.8345,0.7392,0.6888,0.6384,0.252,0.798,0.798,0.6384,0.252,0,0,0,0
0,0.84,0.84,0.84,0.8345,0.8345,0.7392,0.6888,0.6384,0.252,0.798,0.798,0.6384,0.252,0,0,0,0
0,0.84,0.84,0.84,0.8345,0.8345,0.7392,0.6888,0.6384,0.252,0.798,0.798,0.6384,0.252,0,0,0,0
0,0.84,0.84,0.84,0.8345,0.8345,0.7392,0.6888,0.6384,0.252,0.798,0.798,0.6384,0.252,0,0,0,0
0,0.84,0.84,0.84,0.8345,0.8345,0.7392,0.6888,0.6384,0.252,0.798,0.798,0.6384,0.252,0,0,0,0
0,0.84,0.84,0.84,0.8345,0.8345,0.7392,0.6888,0.6384,0.252,0.798,0.798,0.6384,0.252,0,0,0,0
0,0.84,0.84,0.84,0.8345,0.8345,0.7392,0.6888,0.6384,0.252,0.798,0.798,0.6384,0.252,0,0,0,0
0,0.84,0.84,0.84,0.8345,0.8345,0.7392,0.6888,0.6384,0.252,0.798,0.798,0.6384,0.252,0,0,0,0
0,0.84,0.84,0.84,0.8345,0.8345,0.7392,0.6888,0.6384,0.252,0.798,0.798,0.6384,0.252,0,0,0,0
0,0.84,0.84,0.84,0.8345,0.8345,0.7392,0.6888,0.6384,0.252,0.798,0.798,0.6384,0.252,0,0,0,0
0,0.84,0.84,0.84,0.8345,0.8345,0.7392,0.6888,0.6384,0.252,0.798,0.798,0.6384,0.252,0,0,0,0
0,0.84,0.84,0.84,0.8345,0.8345,0.7392,0.6888,0.6384,0.252,0.798,0.798,0.6384,0.252,0,0,0,0
0,0.84,0.84,0.84,0.8345,0.8345,0.7392,0.6888,0.6384,0.252,0.798,0.798,0.6384,0.252,0,0,0,0
0,0.84,0.84,0.84,0.8345,0.8345,0.7392,0.6888,0.6384,0.252,0.798,0.798,0.6384,0.252,0,0,0,0
0,0.84,0.84,0.84,0.8345,0.8345,0.7392,0.6888,0.6384,0.252,0.798,0.798,0.6384,0.252,0,0,0,0
0,0.82,0.82,0.82,0.8145,0.8145,0.7216,0.6724,0.6232,0.246,0.779,0.779,0.6232,0.246,0,0,0,0
