,Life_Years,Costs,Util
0,1.0,0.0,0.776
1,1.991131654604418,2415.0189039046813,1.4818533771267464
2,2.9546191943611553,6501.441107642672,2.1224701816718228
3,3.877658879057112,11692.681406068645,2.7027572005270786
4,4.751983932662392,17560.667570155918,3.227513364287006
5,5.572742916259114,23785.375642569372,3.7013574300433056
6,6.33762589049099,30130.76678826243,4.128680251189618
7,7.0461861921445745,36425.80976595993,4.513615618863711
8,7.699316385878827,42549.540604846625,4.860024983086339
9,8.298845504754294,48419.32451790945,5.171492406955363
10,8.84723150358616,53981.65535507148,5.451326931598914
11,9.347328269784919,59204.96369929389,5.702570178536229
12,9.802210848704343,64074.012989538256,5.9280075259187734
13,10.21502065720222,68585.27842930335,6.130169050186286
14,10.58892642479821,72744.1667231029,6.311372049284065
15,10.927026392341329,76562.11997045066,6.47372101636332
16,11.232301821810701,80054.64024621302,6.619123312258048
17,11.507586343393683,83239.79275476921,6.749304590781117
18,11.75554726221172,86137.08266375597,6.865823715649333
19,11.978675800593248,88766.62273251364,6.970086993620438
20,12.17928392587477,91148.52633797978,7.063361613399615
21,12.359505945249069,93302.47438577154,7.146788228609644
22,12.521303467571517,95247.41560986168,7.221392659220385
23,12.666472660692945,97001.36849555364,7.2880967121428775
24,12.79665299044535,98581.299973941,7.347728140449997
25,12.913329198478758,100002.96889974458,7.4010262784941085
26,13.017858166590921,101281.1082095357,7.448658116738325
27,13.111469565989703,102429.32024647619,7.491221547698469
28,13.195275826688691,103460.10777138158,7.529252289816043
29,13.270281775243646,104384.91977282873,7.563230166282074
30,13.337393828270544,105214.20684807924,7.593584788426633
31,13.39742867101469,105957.48221882855,7.620700691895852
32,13.45112138160451,106623.38545246108,7.6449219718057595
33,13.499132984846948,107219.74674075352,7.666556460617273
34,13.542057436336583,107753.6501915927,7.685879489790083
35,13.580428049701261,108231.49505317051,7.703137273472136
36,13.614723388127812,108659.05414433777,7.718549949659015
37,13.645370573051283,109041.50317987497,7.7323133795204315
38,13.672754775992031,109383.52960088284,7.744603662102022
39,13.697221089777235,109689.34847196356,7.755578169944407
40,13.719078578889938,109962.74703460005,7.765377525016178
41,13.738603945355557,110207.1257109724,7.7741273692896895
42,13.756044841354527,110425.53569182481,7.781939950661901
43,13.771622858424617,110620.71327733832,7.788915542968339
44,13.785536221527304,110795.11116153047,7.795143717040139
45,13.797962214509472,110950.92686197904,7.800704478106083
46,13.809059361676363,111090.12850035865,7.805669283336113
47,13.818969388363868,111214.47813748229,7.810101951951479
48,13.827818981601022,111325.55286086642,7.814059479080681
49,13.83572081334093,111424.75682495271,7.817592514376266
50,13.842776190706203,111513.35387548101,7.8207465639643585
51,13.849075631282675,111592.47427019791,7.823562260814259
52,13.854700004310521,111663.12860243797,7.8260758855551265
53,13.859721552780186,111726.22031362228,7.828319831840077
54,13.864204808534149,111782.55692936917,7.830323022119571
55,13.868207411313756,111832.86014282425,7.832111279074867
56,13.871780841625746,111877.77485824241,7.833707657413207
57,13.874971076330674,111917.87729787249,7.835132740233292
58,13.877819174969888,111953.68226585374,7.836404903727117
59,13.880361804043073,111985.64965414767,7.8375405535873925
60,13.882631705718927,112014.19026749997,7.838554336134033
61,13.884657965548081,112039.66913525584,7.839459259301762
62,13.886466721877289,112062.41438790907,7.840267010611944
63,13.888081311531602,112082.7190550544,7.840988023122085
64,13.88952256954971,112100.84480707505,7.84163161000174
65,13.890809096958005,112117.02530062657,7.842206084685569
66,13.891957499969752,112131.46916933339,7.842718868146426
67,13.892982603641354,112144.36269689407,7.8431765846669075
68,13.893897642699487,112155.87220597941,7.843585147340691
69,13.894714431967373,112166.14619286773,7.843949834403573
70,13.895443518562358,112175.317234662,7.844275357376585
71,13.89609431780752,112183.50369314376,7.844565921898564
72,13.896675234594362,112190.81123680936,7.8448252820317474
73,13.897193728500628,112197.33365633742,7.84505676943089
74,13.897656506338357,112203.15528378589,7.845263379386312
75,13.898069554508051,112208.35139730378,7.845447785328749
76,13.898438216345616,112212.98919227539,7.8456123734100975
77,13.898767261172193,112217.12864847558,7.845759273369746
78,13.89906094593547,112220.8233043352,7.845890386085269
79,13.899323070236191,112224.12094823823,7.846007408163506
80,13.899557025448756,112227.06423571854,7.846111853889818
81,13.899765838569063,112229.69124048074,7.846205074819254
82,13.899952211354982,112232.03594632578,7.846288277262877
83,13.90011855526434,112234.12868630762,7.846362537895329
84,13.900267022641295,112235.99653477204,7.846428817685445
85,13.900399521846756,112237.6634974624,7.846487968657379
86,13.900517770251914,112239.15117802603,7.846540757553515
87,13.900623300537367,112240.47885710886,7.846587868650599
88,13.900717480552801,112241.66374208377,7.8466299126288686
89,13.900801531041663,112242.72118994466,7.846667434487373
90,13.900876541460235,112243.6649062471,7.846700920608055
91,13.900943484095928,112244.50712266788,7.846730805060117
92,13.901003226667568,112245.25875547985,7.8467574752263864
93,13.901056543570864,112245.92954699202,7.846781276824565
94,13.901104125914667,112246.52819178511,7.846802518388461
95,13.90114659047804,112247.06244937622,7.846821475267258
96,13.901184487704127,112247.53924477086,7.846838393194662
97,13.901218304991701,112247.96470985803,7.8468534897587405
98,13.901248481574626,112248.34437059939,7.846866961044705
99,13.90127540940099,112248.68315807948,7.846878982027635
100,13.901299438223491,112248.98547254104,7.846889708845134
101,13.901320880141885,112249.255240528,7.846899280825318
102,13.90134001365643,112249.495965878,7.846907822296479
103,13.90135708728501,112249.71077522609,7.846915444201929
104,13.901372322790863,112249.9024586106,7.8469222455409975
105,13.901385918062847,112250.07350570791,7.846928314654893
106,13.90139804968564,112250.22613816704,7.846933730374138
107,13.901408875233269,112250.36233846331,7.846938563042467
108,13.901418535315706,112250.48387564623,7.846942875430502
109,13.901427154220853,112250.59231341525,7.846946723022368
110,13.901434844167992,112250.68906363322,7.846950155914514
111,13.90144170528134,112250.77538599288,7.846953218803922
112,13.901447826893643,112250.85240441743,7.84695595157007
113,13.901453288709291,112250.92112169358,7.846958389794168
114,13.901458161842058,112250.98243252745,7.846960565222431
115,13.901462509740998,112251.03713519337,7.846962506179417
116,13.901466389016562,112251.08594192726,7.846964237936822
117,13.901469850177657,112251.12948819976,7.846965783042518
118,13.901472938289277,112251.16834099001,7.846967161614131
119,13.901475693559256,112251.20300616765,7.8469683916009805
120,13.901478151861772,112251.23393507922,7.846969489017778
121,13.901480344847602,112251.26152593516,7.846970467993848
122,13.901482301151505,112251.28613900038,7.846971341312122
123,13.901484046317789,112251.30809565773,7.846972120375909
124,13.901485603133848,112251.32768260436,7.846972815357799
125,13.901486991927712,112251.34515559522,7.846973435332484
126,13.901488230833474,112251.36074278253,7.846973988395254
127,13.901489336028073,112251.37464769484,7.846974481767701
128,13.901490321942525,112251.38705189458,7.846974921892012
129,13.901491201450355,112251.39811734873,7.846975314515091
130,13.901491986035689,112251.40798854375,7.846975664763596
131,13.901492685943209,112251.41679437217,7.846975977210881
132,13.901493310311922,112251.42464981554,7.846976255936712
133,13.901493867193278,112251.43165617244,7.846976504535357
134,13.90149436388191,112251.43790521969,7.8469767262632315
135,13.901494806883989,112251.44347881405,7.846976924024769
136,13.901495202002435,112251.4484499645,7.846977100410467
137,13.90149555441294,112251.45288378854,7.846977257730817
138,13.90149586873176,112251.45683836521,7.8469773980465725
139,13.901496149076184,112251.46036549583,7.846977523195743
140,13.901496399118471,112251.46351138261,7.8469776348176685
141,13.901496622133948,112251.46631723378,7.846977734374495
142,13.901496821043912,112251.46881980341,7.846977823170327
143,13.901496998453904,112251.47105187291,7.84697790236831
144,13.901497156687835,112251.47304268034,7.846977973005863
